,Id,SalePrice
0,1461,118537.04203882185
1,1462,152162.45616727174
2,1463,170599.19817177005
3,1464,184727.92555987384
4,1465,198536.69197736948
5,1466,174522.41700847397
6,1467,176153.91175922015
7,1468,166547.8395308312
8,1469,200727.41818519591
9,1470,118831.99912257126
10,1471,195795.3868368417
11,1472,99215.83737234317
12,1473,92317.40463830122
13,1474,147451.9449252279
14,1475,123775.11728376649
15,1476,378828.2774941042
16,1477,259792.38697151828
17,1478,295409.02188502863
18,1479,278185.12343500165
19,1480,489680.6356911003
20,1481,353929.73701547115
21,1482,213406.5511919545
22,1483,167017.53721136483
23,1484,169734.0899009468
24,1485,177853.35093001917
25,1486,199142.37540304856
26,1487,345880.0538806747
27,1488,239080.4003486455
28,1489,201625.90653710114
29,1490,214020.6535252782
30,1491,194776.91400083096
31,1492,100134.19541785435
32,1493,188760.79365412728
33,1494,295991.58174050885
34,1495,289900.01935268956
35,1496,225545.77184314036
36,1497,187426.59247183488
37,1498,163466.4771350965
38,1499,159365.78609174563
39,1500,152020.34226808415
40,1501,175539.00419153282
41,1502,148173.69070209222
42,1503,290777.9033780562
43,1504,251045.95078107642
44,1505,230100.497504695
45,1506,181137.58620775305
46,1507,245661.79465587615
47,1508,204233.36160982377
48,1509,156337.98443934307
49,1510,145933.81150280565
50,1511,142403.56771647354
51,1512,166527.3815295724
52,1513,141592.91683718885
53,1514,142612.93687688207
54,1515,195189.24407570457
55,1516,154370.08902832525
56,1517,164663.71517973495
57,1518,139229.86670427563
58,1519,219111.031927516
59,1520,128433.82455010647
60,1521,127980.12430555791
61,1522,179306.23502013655
62,1523,113323.36707587175
63,1524,122498.2150431901
64,1525,117399.78854614588
65,1526,118163.04253209515
66,1527,106708.38199281412
67,1528,142767.62355565475
68,1529,139014.58154225015
69,1530,197752.71489974388
70,1531,105623.07558060379
71,1532,97998.17583268399
72,1533,141792.4063762631
73,1534,117601.5704842889
74,1535,139585.1084167088
75,1536,110911.97287727502
76,1537,67615.03926035664
77,1538,152090.14484068242
78,1539,192583.9393578165
79,1540,107979.3869459521
80,1541,142145.9809489696
81,1542,145026.74552580828
82,1543,197210.76756145223
83,1544,84849.63938650135
84,1545,102201.47852928913
85,1546,139070.66791423448
86,1547,135732.14428730778
87,1548,126470.83856005927
88,1549,105945.69779050938
89,1550,131576.67501289205
90,1551,112218.9905694354
91,1552,141108.26794715406
92,1553,129667.39896494831
93,1554,114312.9745692584
94,1555,159948.075364881
95,1556,102374.16990029323
96,1557,106406.48778504498
